Bridge/Tunnel,Year,Month,Vehicles Type,Eastbound Volume
Bayonne Bridge,2014,Jun,Automobile,230353
Bayonne Bridge,2014,Mar,Automobile,228401
Bayonne Bridge,2014,May,Automobile,211592
Bayonne Bridge,2014,Apr,Automobile,222839
Bayonne Bridge,2014,Feb,Automobile,191670
Bayonne Bridge,2014,Jan,Automobile,217623
Bayonne Bridge,2014,Jan,Bus,1389
Bayonne Bridge,2014,May,Bus,1468
Bayonne Bridge,2014,Apr,Bus,1298
Bayonne Bridge,2014,Mar,Bus,1383
Bayonne Bridge,2014,Feb,Bus,1211
Bayonne Bridge,2014,Jun,Bus,1511
Bayonne Bridge,2014,Apr,Total vehicles,240789
Bayonne Bridge,2014,Jun,Total vehicles,249395
Bayonne Bridge,2014,Jan,Total vehicles,236061
Bayonne Bridge,2014,Feb,Total vehicles,207434
Bayonne Bridge,2014,Mar,Total vehicles,247515
Bayonne Bridge,2014,May,Total vehicles,230416
Bayonne Bridge,2014,Feb,Truck,14553
Bayonne Bridge,2014,Apr,Truck,16652
Bayonne Bridge,2014,Mar,Truck,17731
Bayonne Bridge,2014,May,Truck,17356
Bayonne Bridge,2014,Jan,Truck,17049
Bayonne Bridge,2014,Jun,Truck,17531
Bayonne Bridge,2013,Jul,Automobile,274895
Bayonne Bridge,2013,Oct,Automobile,276098
Bayonne Bridge,2013,Aug,Automobile,280857
Bayonne Bridge,2013,Apr,Automobile,264471
Bayonne Bridge,2013,Dec,Automobile,246151
Bayonne Bridge,2013,Mar,Automobile,261071
Bayonne Bridge,2013,Sep,Automobile,262422
Bayonne Bridge,2013,Feb,Automobile,228696
Bayonne Bridge,2013,May,Automobile,278376
Bayonne Bridge,2013,Jun,Automobile,270994
Bayonne Bridge,2013,Jan,Automobile,255418
Bayonne Bridge,2013,Nov,Automobile,260625
Bayonne Bridge,2013,Sep,Bus,1858
Bayonne Bridge,2013,Jan,Bus,1637
Bayonne Bridge,2013,Feb,Bus,1475
Bayonne Bridge,2013,Mar,Bus,1776
Bayonne Bridge,2013,Apr,Bus,1852
Bayonne Bridge,2013,Dec,Bus,1605
Bayonne Bridge,2013,May,Bus,2052
Bayonne Bridge,2013,Jun,Bus,1783
Bayonne Bridge,2013,Nov,Bus,1814
Bayonne Bridge,2013,Jul,Bus,1990
Bayonne Bridge,2013,Aug,Bus,2172
Bayonne Bridge,2013,Oct,Bus,2154
Bayonne Bridge,2013,Aug,Total vehicles,307269
Bayonne Bridge,2013,May,Total vehicles,302573
