Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
10/03/2015,AUDI,LL,,RED,E713510,IL,701 N. Sacramento,(773) 265-7605,6828377
10/03/2015,BUIC,4D,,SIL,R579392,IL,701 N. Sacramento,(773) 265-7605,6828355
10/03/2015,BUIC,4D,,BLU,E643952,IL,10300 S. Doty,(773) 568-8495,2773707
10/03/2015,CADI,4D,,TAN,132AGI,IN,10300 S. Doty,(773) 568-8495,2773725
10/03/2015,CADI,4D,,TAN,E392337,IL,10300 S. Doty,(773) 568-8495,2773723
10/03/2015,CHEV,2D,,RED,,IL,10300 S. Doty,(773) 568-8495,2773698
10/03/2015,CHEV,4D,,WHI,181228EN,IL,10300 S. Doty,(773) 568-8495,2773717
10/03/2015,CHEV,4D,,BLK,L590820,IL,701 N. Sacramento,(773) 265-7605,6828356
10/03/2015,CHEV,4D,,SIL,H669072,IL,10300 S. Doty,(773) 568-8495,2773729
10/03/2015,CHEV,4D,,BLK,Z308707,IL,400 E. Lower Wacker,(312) 744-7550,935508
10/03/2015,CHEV,4D,,GRN,Y754922,IL,10300 S. Doty,(773) 568-8495,2773730
10/03/2015,CHEV,4D,,WHI,V762645,IL,701 N. Sacramento,(773) 265-7605,6828379
10/03/2015,CHEV,4D,,BLU,V658870,IL,10300 S. Doty,(773) 568-8495,2773705
10/03/2015,CHEV,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6828386
10/03/2015,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6828385
10/03/2015,CHEV,LL,,WHI,MJB108,IL,400 E. Lower Wacker,(312) 744-7550,935503
10/03/2015,CHEV,PK,,RED,TOBYFF,IL,701 N. Sacramento,(773) 265-7605,6828376
10/03/2015,CHRY,4D,,SIL,E862319,IL,10300 S. Doty,(773) 568-8495,2773708
10/03/2015,CHRY,4D,,BLK,R271818,IL,10300 S. Doty,(773) 568-8495,2773733
10/03/2015,CHRY,4D,,BLK,IN4823,IN,701 N. Sacramento,(773) 265-7605,6828351
10/03/2015,DODG,4D,,WHI,V323338,IL,10300 S. Doty,(773) 568-8495,2773719
10/03/2015,DODG,LL,TK,GRN,3529270,IL,701 N. Sacramento,(773) 265-7605,6828384
10/03/2015,DODG,PK,,GRN,1084300,IL,10300 S. Doty,(773) 568-8495,2773722
10/03/2015,DODG,VN,,GRN,E350628,IL,701 N. Sacramento,(773) 265-7605,6828375
10/03/2015,DODG,VN,CVN,GRY,S777327,IL,10300 S. Doty,(773) 568-8495,273720
10/03/2015,FORD,2D,,BLU,8915071,IL,701 N. Sacramento,(773) 265-7605,6828369
10/03/2015,FORD,4D,,WHI,E394102,IL,10300 S. Doty,(773) 568-8495,2773728
10/03/2015,FORD,4D,,GRY,R945589,IL,10300 S. Doty,(773) 568-8495,2773716
10/03/2015,FORD,4D,,GRY,N488598,IL,701 N. Sacramento,(773) 265-7605,6828357
10/03/2015,FORD,4D,,RED,X581028,IL,701 N. Sacramento,(773) 265-7605,6828358
10/03/2015,FORD,4D,,GRN,605MAH,IN,10300 S. Doty,(773) 568-8495,2773706
10/03/2015,FORD,4D,,BLU,E426263,IL,10300 S. Doty,(773) 568-8495,2773732
10/03/2015,FORD,LL,,GRN,345S175,IL,10300 S. Doty,(773) 568-8495,2773721
10/03/2015,FORD,LL,,RED,K759720,IL,10300 S. Doty,(773) 568-8495,2773726
10/03/2015,FORD,LL,,BLK,E441197,IL,10300 S. Doty,(773) 568-8495,2773715
10/03/2015,GMC,LL,,SIL,S707267,IL,701 N. Sacramento,(773) 265-7605,6828365
10/03/2015,HOND,4D,,BLU,9084029,IL,400 E. Lower Wacker,(312) 744-7550,935499
10/03/2015,HOND,4D,,GRY,E506190,IL,400 E. Lower Wacker,(312) 744-7550,935494
10/03/2015,HYUN,4D,,GRY,E763245,IL,400 E. Lower Wacker,(312) 744-7550,935490
10/03/2015,HYUN,4D,,GRY,Y761373,IL,10300 S. Doty,(773) 568-8495,2773711
10/03/2015,HYUN,LL,,WHI,E727259,IL,701 N. Sacramento,(773) 265-7605,6828373
10/03/2015,HYUN,VN,TK,WHI,E431805,IL,10300 S. Doty,(773) 568-8495,2773709
10/03/2015,JEEP,LL,TK,GRY,E756908,IL,10300 S. Doty,(773) 568-8495,2773724
10/03/2015,JEEP,LL,TK,BLU,P337868,IL,701 N. Sacramento,(773) 265-7605,6828372
10/03/2015,JEEP,LL,TK,BLK,V200173,IL,701 N. Sacramento,(773) 265-7605,6828380
10/03/2015,LEXS,4D,,BLK,V299313,IL,701 N. Sacramento,(773) 265-7605,6828363
10/03/2015,LEXS,4D,,GLD,Y706699,IL,701 N. Sacramento,(773) 265-7605,6828381
10/03/2015,LINC,4D,,BLK,V383145,IL,10300 S. Doty,(773) 568-8495,2773718
10/03/2015,MAZD,4D,,RED,E275128,IL,400 E. Lower Wacker,(312) 744-7550,935506
10/03/2015,MERC,4D,,BLU,E183535,IL,10300 S. Doty,(773) 568-8495,2773700
10/03/2015,NISS,4D,,BLK,V104494,IL,701 N. Sacramento,(773) 265-7605,6828383
10/03/2015,NISS,LL,,WHI,142S697,IL,701 N. Sacramento,(773) 265-7605,6828382
10/03/2015,PLYM,LL,,SIL,S150150,IL,10300 S. Doty,(773) 568-8495,2773703
10/03/2015,PONT,4D,,BLK,Y727509,IL,10300 S. Doty,(773) 568-8495,2773734
10/03/2015,PONT,4D,,BLU,S915421,IL,701 N. Sacramento,(773) 265-7605,6828359
10/03/2015,PONT,VC,,MAR,Y770731,IL,10300 S. Doty,(773) 568-8495,2773714
10/03/2015,PONT,VN,,RED,V897456,IL,10300 S. Doty,(773) 568-8495,2773731
10/03/2015,SATR,LL,,BLK,R489716,IL,701 N. Sacramento,(773) 265-7605,6828378
